,2025-01-31
TPU CN Equity,15.455
381170 KS Equity,0
IMTM US Equity,0
XSEM CN Equity,6.708699999999999
FESM US Equity,16.757199999999997
2801 HK Equity,0
FELV US Equity,0
XRS2 GR Equity,0
XDEQ GR Equity,0
DISV US Equity,14.674800000000005
SXXEEX GR Equity,0
ZWB CN Equity,-7.709300000000001
ZUE CN Equity,11.537199999999999
EPAB FP Equity,1.1162
PHO US Equity,0
IH2O LN Equity,-6.6096
KOMP US Equity,1.6142
CSSMI SW Equity,0
FNCL US Equity,36.6635
FXO US Equity,25.5282
IAI US Equity,15.7184
XZMJ GR Equity,11.7364
DFGR US Equity,33.5466
GRID US Equity,29.878099999999996
512500 CH Equity,-10.8291
SPYX US Equity,0
TCHF76 IT Equity,-1.753
ICICIB22 IN Equity,0
MTFF23 IT Equity,-8.5814
FDIS US Equity,0
512760 CH Equity,1.9849
XDEV GR Equity,11.4402
1476 JP Equity,1.7697000000000003
DSTL US Equity,2.8434
XXSC GR Equity,8.0936
3010 HK Equity,0
VFLO US Equity,98.8781
INRG LN Equity,-0.6616
XAW CN Equity,-17.7684
RPV US Equity,0
DES US Equity,-12.138
FXR US Equity,0
PR1J GR Equity,28.9735
SECT US Equity,0.019000000000000128
513500 CH Equity,0
00918 TT Equity,0
MSTY US Equity,108.79369999999999
USSRI SW Equity,-8.776000000000002
HACK US Equity,31.5684
ICF US Equity,-6.0704
MAGS US Equity,4.3603
JREE LN Equity,34.8679
EMSRI FP Equity,0
IXC US Equity,0
BBMC US Equity,-37.6924
MORES1 IT Equity,6.4851
IUVL LN Equity,0.5689000000000001
ESML US Equity,0
IPAC US Equity,0
FEMR LN Equity,0
1489 JP Equity,44.331199999999995
XHB US Equity,83.80810000000001
KSMF74 IT Equity,-12.2396
GCOW US Equity,-10.4516
QQEW US Equity,-6.5506
FLJP US Equity,-70.3871
CSUS SW Equity,0
XSMI GR Equity,5.0954
EUFN US Equity,42.98989999999999
GUSA US Equity,0
DFNS LN Equity,111.47130000000001
513100 CH Equity,0
PABU US Equity,23.092
513060 CH Equity,0
510900 CH Equity,0
00881 TT Equity,0
1615 JP Equity,-21.581199999999995
GGRA LN Equity,16.8861
ARKW US Equity,0
EPP US Equity,0
QDF US Equity,-1.8052
XDJP GR Equity,-53.0783
RWR US Equity,-9.9769
381180 KS Equity,0
XD5E GR Equity,0
FIW US Equity,0
HRLF25 IT Equity,0.3689
VAP AU Equity,0
IVLU US Equity,0
FENI US Equity,11.4733
RWJ US Equity,4.2989
MLPA US Equity,0.17019999999999946
IYC US Equity,-55.139500000000005
DXUS IM Equity,0
SAJP LN Equity,40.6973
PVAL US Equity,123.6583
JMEE US Equity,40.669
TILT US Equity,0
CEU FP Equity,40.3681
TTP CN Equity,5.0671
PXF US Equity,0
WSRIA SW Equity,3.2194
KLMT US Equity,0
IDWP LN Equity,-1.8886
RECS US Equity,48.197900000000004
BOVA11 BZ Equity,-66.7533
WAT FP Equity,0
DGS US Equity,0
LWCR GR Equity,0
UIMP GR Equity,-6.657900000000001
APUE US Equity,7.3629999999999995
CMU FP Equity,0
IWL US Equity,7.4457
RDVI US Equity,36.948100000000004
NESG LN Equity,-28.871000000000002
IYG US Equity,8.4149
NULV US Equity,-12.305700000000002
EXCH NA Equity,0
1474 JP Equity,-0.009100000000000006
FUTY US Equity,2.5227
515330 CH Equity,-0.4438
EEJD LN Equity,-3.1031999999999997
EFIV US Equity,23.078200000000002
XME US Equity,14.8833
IYJ US Equity,0
SNPE US Equity,0
SENSEXIE IN Equity,0
ACIO US Equity,12.312100000000001
MVW AU Equity,5.9871
OIH US Equity,-42.207300000000004
HDEF US Equity,0
XUFN GR Equity,8.9558
XSOE US Equity,0
278530 KS Equity,0
FLIN US Equity,0
588050 CH Equity,8.137
ACWI FP Equity,0
EJAP FP Equity,8.0626
LOCK LN Equity,0.1955
CWI US Equity,-17.2658
REGL US Equity,247.8702
159629 CH Equity,32.7895
RPG US Equity,16.7887
EQL CN Equity,-2.808
KSMF80 IT Equity,-1.337
SMLF US Equity,31.7616
2524 JP Equity,-0.0018999999999999993
ICHN NA Equity,0
FXD US Equity,0
MSRUSA SW Equity,1.8879
VXC CN Equity,7.411
FENY US Equity,3.7011000000000003
LVHI US Equity,20.506800000000002
FUSA LN Equity,-1.3036
512690 CH Equity,-0.6933
BMOGEAN CN Equity,-0.38839999999999997
159928 CH Equity,1.0673
IAUP LN Equity,3.4412
RSSL US Equity,4.4459
PSGF65 IT Equity,1.7122
HEDJ US Equity,-23.4638
NULG US Equity,-13.2622
BSVO US Equity,8.8169
USRIH IM Equity,1.1029
ZQQ CN Equity,-0.0259999999999998
SPISI SW Equity,7.9826999999999995
CGDG US Equity,35.4575
IEV US Equity,0
NSCE CN Equity,4.6306
URNM US Equity,0.42169999999999996
INFR LN Equity,1.3811
QLTY US Equity,3.991
VEE CN Equity,3.239
FLQL US Equity,18.2092
EWRD FP Equity,0.5623
NVDY US Equity,132.6916
IPRP LN Equity,-1.9296
AVSC US Equity,6.670999999999999
SMMCHA SW Equity,1.018
VDPX LN Equity,0
SADU FP Equity,5.3179
VCE CN Equity,3.9220000000000006
ECN FP Equity,-31.2498
LCEUD FP Equity,0
ESGE FP Equity,0
XSD US Equity,-61.13270000000001
XCS6 GR Equity,0
SPICHA SW Equity,2.891
RYLD US Equity,3.318
ETFDAX GR Equity,-3.9428
00662 TT Equity,0
XSMO US Equity,-3.4131999999999962
CSINDU SW Equity,0
IGSU LN Equity,9.4
458730 KS Equity,0
FXL US Equity,0
EWA US Equity,0
UBUT GR Equity,-5.1056
SAUM LN Equity,2.7547
CANCDA SW Equity,-1.9387999999999996
RSENSEX IN Equity,0
PABW FP Equity,1.0392
BIZD US Equity,28.5146
VIOV US Equity,-8.5483
159977 CH Equity,-5.5712
SX7PEX GR Equity,0
ZLU CN Equity,9.8178
QUS US Equity,-4.8171
IEVL LN Equity,1.5343
XCHA GR Equity,5.9858
310970 KS Equity,0
FCOM US Equity,0
JREM LN Equity,0
SMMD US Equity,-3.603999999999999
IWDC SW Equity,14.1891
MPAB NA Equity,0
WRDCHA SW Equity,4.5982
ICLN US Equity,0
AASI FP Equity,0
PDP US Equity,-2.2607
SITU CN Equity,8.2959
1597 JP Equity,-30.7412
SRECHA SW Equity,8.0618
VGG CN Equity,8.2865
UIMR GR Equity,-1.7689
UET5 GR Equity,70.30330000000001
BND US Equity,246.022
AGG US Equity,87.80060000000003
BNDX US Equity,135.4469
TLT US Equity,-314.25849999999997
VCIT US Equity,411.9
BIL US Equity,-367.0363
MBB US Equity,350.5983
VCSH US Equity,251.34270000000004
BSV US Equity,-364.46500000000003
IUSB US Equity,-18.1886
SGOV US Equity,-120.8903
IEF US Equity,102.2707
VGIT US Equity,5.974100000000002
GOVT US Equity,42.893100000000004
LQD US Equity,312.5589
JPST US Equity,96.1136
SHY US Equity,-57.5861
BIV US Equity,52.622
VGSH US Equity,48.1828
IGSB US Equity,-41.596199999999996
IBTU LN Equity,0.8676000000000001
VMBS US Equity,30.7273
SHV US Equity,-55.2586
USHY US Equity,-389.263
JAAA US Equity,1222.522
USFR US Equity,10.997899999999994
FBND US Equity,150.89010000000002
IEI US Equity,-23.188499999999998
HYG US Equity,342.33579999999995
PFF US Equity,51.3943
IEAC LN Equity,-306.046
IGIB US Equity,18.149299999999997
VCLT US Equity,98.07000000000001
EMB US Equity,-108.6989
TIP US Equity,107.8785
HGAD LN Equity,-0.5232
MINT US Equity,21.1555
USIG US Equity,10.1239
VTIP US Equity,19.624200000000002
SCHP US Equity,41.7916
SCHO US Equity,19.390200000000004
STIP US Equity,202.8892
AGGG LN Equity,19.227899999999998
SPTL US Equity,0
IBTS LN Equity,87.66579999999999
SCHR US Equity,-9.7644
PULS US Equity,-119.58449999999999
VGLT US Equity,-22.0408
BKLN US Equity,476.0383
SPIB US Equity,112.0673
00679B TT Equity,0
SRLN US Equity,613.349
SCHZ US Equity,132.4835
SPSB US Equity,71.98179999999999
LQDE LN Equity,71.6906
SPAB US Equity,10.0633
