,2025-01-24
XMJP GR Equity,2998.75441
XAR US Equity,2959.5026
159920 CH Equity,
1599 JP Equity,2948.0182
PSGF35 IT Equity,2887.58179
MLPX US Equity,2863.9029
HXT CN Equity,2856.9337
USCA US Equity,2920.6221
CSPXJ SW Equity,2859.5564
USRT US Equity,2831.721
VAW US Equity,2846.233
1343 JP Equity,2847.9
MSLC US Equity,2877.727058
AWSRIS SW Equity,2859.85366
CSUKX SW Equity,2852.19817
IHDG US Equity,2858.1667
ITB US Equity,2934.1141
SYGEU SJ Equity,2865.2664
SPYI US Equity,2839.6027
WELE GR Equity,2875.57981
ZLB CN Equity,2827.79819
IOO AU Equity,2851.48896
NUGO US Equity,2856.1824
JAVA US Equity,2772.4776
AIQ US Equity,2853.1195
VERX LN Equity,2804.89723
ZEB CN Equity,2699.28049
GNR US Equity,2755.1243
DEM US Equity,2772.9588
BOTZ US Equity,2808.1309
SDGPEX GR Equity,2741.87961
159792 CH Equity,
COPX US Equity,2660.5001
1369 JP Equity,2767.9451
FHLC US Equity,2738.0444
DJGTEEX GR Equity,2755.06015
EWC US Equity,2710.5107
SW2CHB SW Equity,2736.71192
FMDE US Equity,2735.800288
1592 JP Equity,2728.4249
VHY AU Equity,
IWMO LN Equity,2745.4163
MDYV US Equity,2671.5094
SMH LN Equity,2712.0741
IMCG US Equity,2692.7021
PRFZ US Equity,2639.4664
USMC US Equity,2673.7816
513130 CH Equity,
TNOW IM Equity,2675.01894
GSUS US Equity,2681.1891
NIFTYIET IN Equity,
ISPY LN Equity,2617.7607
510880 CH Equity,
ILCG US Equity,2615.9579
IVOO US Equity,2541.0719
CNYA LN Equity,2526.3181
XDWH GR Equity,2600.44379
CSUSS SW Equity,2509.0168
KBE US Equity,2513.5512
379800 KS Equity,
XUU CN Equity,2547.18843
XACTVINX SS Equity,2531.88875
HELO US Equity,2536.497811
IMID LN Equity,2539.793
QUU CN Equity,2603.74254
AAXJ US Equity,2490.6979
ANX FP Equity,2576.90601
VGAD AU Equity,
MWOP GR Equity,2493.87612
TEC CN Equity,2504.89123
NFRA US Equity,2444.8162
ASHR US Equity,2406.5976
159922 CH Equity,
1364 JP Equity,2449.7565
IWX US Equity,2415.2878
XOP US Equity,2333.6584
XQQ CN Equity,2452.82812
IUFS LN Equity,2461.6645
KLMN US Equity,2430.203047
VDY CN Equity,2392.58962
DFIS US Equity,2397.6503
2823 HK Equity,2360.1821
LRGF US Equity,2400.7255
ETHI AU Equity,2401.35853
83188 HK Equity,2338.7878
UBU7 GR Equity,2481.87855
IYY US Equity,2372.6469
USCL US Equity,2372.706
EAGL US Equity,2391.606933
XZEU GR Equity,2350.13326
IUHC LN Equity,2367.04699
TPU CN Equity,2368.06468
381170 KS Equity,
IMTM US Equity,2331.0884
XSEM CN Equity,2319.40406
FESM US Equity,2308.694087
2801 HK Equity,2271.06026
FELV US Equity,2261.420372
XRS2 GR Equity,2297.76097
XDEQ GR Equity,2313.91283
DISV US Equity,2269.853
SXXEEX GR Equity,2261.08057
ZWB CN Equity,2232.33477
ZUE CN Equity,2278.48567
EPAB FP Equity,2242.99065
PHO US Equity,2203.0338
IH2O LN Equity,2190.13075
KOMP US Equity,2206.7812
CSSMI SW Equity,2226.19612
FNCL US Equity,2198.4381
FXO US Equity,2199.9296
IAI US Equity,2202.9967
XZMJ GR Equity,2221.99225
DFGR US Equity,2155.6929
GRID US Equity,2241.2319
512500 CH Equity,
SPYX US Equity,2178.7637
TCHF76 IT Equity,2188.08194
ICICIB22 IN Equity,
MTFF23 IT Equity,2176.23159
FDIS US Equity,2133.5208
512760 CH Equity,
XDEV GR Equity,2132.12498
1476 JP Equity,2108.4394
DSTL US Equity,2106.242
XXSC GR Equity,2104.10339
3010 HK Equity,2109.48996
VFLO US Equity,2153.2586
INRG LN Equity,2029.7164
XAW CN Equity,2103.1799
RPV US Equity,1582.301
DES US Equity,2049.3259
FXR US Equity,2065.3732
PR1J GR Equity,2074.86592
SECT US Equity,2062.0996
513500 CH Equity,
00918 TT Equity,
MSTY US Equity,1969.189052
USSRI SW Equity,2027.1126
HACK US Equity,2030.16
ICF US Equity,1983.828
MAGS US Equity,2070.6935
JREE LN Equity,2020.28058
EMSRI FP Equity,2004.2064
IXC US Equity,1974.5701
BBMC US Equity,1989.4675
MORES1 IT Equity,2009.81886
IUVL LN Equity,1963.4997
ESML US Equity,1958.5826
IPAC US Equity,1961.3486
FEMR LN Equity,1960.0172
1489 JP Equity,1959.8074
XHB US Equity,1951.906
KSMF74 IT Equity,1941.26198
GCOW US Equity,1950.6649
QQEW US Equity,1931.4314
FLJP US Equity,1933.8215
CSUS SW Equity,1933.1368
XSMI GR Equity,1936.60914
EUFN US Equity,1953.3321
GUSA US Equity,1915.8421
DFNS LN Equity,1959.697
513100 CH Equity,
PABU US Equity,1959.463
513060 CH Equity,
510900 CH Equity,
00881 TT Equity,
1615 JP Equity,1887.751
GGRA LN Equity,1886.9368
ARKW US Equity,1879.1909
EPP US Equity,1859.6669
QDF US Equity,1874.9594
XDJP GR Equity,1902.96812
RWR US Equity,1837.7549
381180 KS Equity,
XD5E GR Equity,1862.09673
FIW US Equity,1828.4376
HRLF25 IT Equity,1874.27346
VAP AU Equity,
IVLU US Equity,1832.6146
FENI US Equity,1842.248083
RWJ US Equity,1821.5331
MLPA US Equity,1809.4702
IYC US Equity,1768.2592
DXUS IM Equity,1778.26433
SAJP LN Equity,1813.8968
PVAL US Equity,1816.2345
JMEE US Equity,1785.1654
TILT US Equity,1791.558
CEU FP Equity,1847.17945
TTP CN Equity,1774.83902
PXF US Equity,1750.5699
WSRIA SW Equity,1758.6553
KLMT US Equity,1758.248089
IDWP LN Equity,1665.2229
RECS US Equity,1784.7973
BOVA11 BZ Equity,1852.9184
WAT FP Equity,1731.58174
