,2025-02-07
CSUSS SW Equity,2538.2234
KBE US Equity,2704.4317
379800 KS Equity,2645.57445
XUU CN Equity,2527.31734
XACTVINX SS Equity,2492.63394
HELO US Equity,2673.853827
IMID LN Equity,2649.718
QUU CN Equity,2586.69664
AAXJ US Equity,2519.4451
ANX FP Equity,2533.22875
VGAD AU Equity,2470.87525
MWOP GR Equity,2409.81081
TEC CN Equity,2465.39444
NFRA US Equity,2391.6134
ASHR US Equity,2391.7629
159922 CH Equity,2428.26388
1364 JP Equity,2504.0713
IWX US Equity,2462.9518
XOP US Equity,1958.732
XQQ CN Equity,2410.35668
IUFS LN Equity,2634.155
KLMN US Equity,2397.087351
VDY CN Equity,2380.43309
DFIS US Equity,2506.3424
2823 HK Equity,2363.27727
LRGF US Equity,2401.1566
ETHI AU Equity,2419.39702
83188 HK Equity,2388.13933
UBU7 GR Equity,2564.80594
IYY US Equity,2404.9935
USCL US Equity,2340.0761
EAGL US Equity,2384.049331
XZEU GR Equity,2421.71912
IUHC LN Equity,2430.06955
TPU CN Equity,2350.61794
381170 KS Equity,2312.75537
IMTM US Equity,2360.0429
XSEM CN Equity,2387.18373
FESM US Equity,2306.930922
2801 HK Equity,2405.78522
FELV US Equity,2259.430178
XRS2 GR Equity,2291.05108
XDEQ GR Equity,2376.89777
DISV US Equity,2361.1598
SXXEEX GR Equity,2279.59627
ZWB CN Equity,2164.86998
ZUE CN Equity,2279.88289
EPAB FP Equity,2295.04146
PHO US Equity,2165.5505
IH2O LN Equity,2192.96066
KOMP US Equity,2202.2575
CSSMI SW Equity,2278.69751
FNCL US Equity,2291.9451
FXO US Equity,2255.764
IAI US Equity,2326.4284
XZMJ GR Equity,2291.64284
DFGR US Equity,2244.854
GRID US Equity,2169.1119
512500 CH Equity,2152.98709
SPYX US Equity,2147.0633
TCHF76 IT Equity,2189.44099
ICICIB22 IN Equity,2146.75309
MTFF23 IT Equity,2177.58329
FDIS US Equity,2129.458
512760 CH Equity,2127.35905
XDEV GR Equity,2277.72668
1476 JP Equity,2254.4057
DSTL US Equity,2089.1141
XXSC GR Equity,2166.00606
3010 HK Equity,2143.19717
VFLO US Equity,2288.892055
INRG LN Equity,2040.65879
XAW CN Equity,2066.20559
RPV US Equity,1504.4919
DES US Equity,2003.4269
FXR US Equity,1987.0021
PR1J GR Equity,2203.40554
SECT US Equity,2036.203
513500 CH Equity,2031.01263
00918 TT Equity,2067.50378
MSTY US Equity,2026.97354
USSRI SW Equity,1971.4637
HACK US Equity,2161.83
ICF US Equity,2001.5196
MAGS US Equity,1991.9902
JREE LN Equity,2092.34041
EMSRI FP Equity,2027.45037
IXC US Equity,1923.9792
BBMC US Equity,1866.483
MORES1 IT Equity,2011.06719
IUVL LN Equity,1925.8303
ESML US Equity,1959.0837
IPAC US Equity,1985.3068
FEMR LN Equity,1990.4317
1489 JP Equity,2148.744
XHB US Equity,1831.5733
KSMF74 IT Equity,1955.41419
GCOW US Equity,1977.3421
QQEW US Equity,1930.39
FLJP US Equity,1907.3815
CSUS SW Equity,1936.4345
XSMI GR Equity,1984.26223
EUFN US Equity,2059.5045
GUSA US Equity,1889.4497
DFNS LN Equity,2184.6065
513100 CH Equity,1893.32736
PABU US Equity,1947.0678
513060 CH Equity,1874.67795
510900 CH Equity,1873.04799
00881 TT Equity,1871.45802
1615 JP Equity,1633.2762
GGRA LN Equity,1923.2953
ARKW US Equity,1930.6411
EPP US Equity,1856.98
QDF US Equity,1856.343
XDJP GR Equity,1828.80703
RWR US Equity,1807.0371
381180 KS Equity,1752.16562
XD5E GR Equity,1946.17641
FIW US Equity,1804.4244
HRLF25 IT Equity,1875.43761
VAP AU Equity,1835.61255
IVLU US Equity,1878.9238
FENI US Equity,1907.499779
RWJ US Equity,1784.3012
MLPA US Equity,1814.9522
IYC US Equity,1657.0899
DXUS IM Equity,1781.21309
SAJP LN Equity,1896.2366
PVAL US Equity,2029.5231
JMEE US Equity,1842.3367
TILT US Equity,1768.0364
CEU FP Equity,1953.39589
TTP CN Equity,1784.94355
PXF US Equity,1779.1708
WSRIA SW Equity,1723.9546
KLMT US Equity,1223.022171
IDWP LN Equity,1683.5964
RECS US Equity,1840.0914
BOVA11 BZ Equity,1969.12253
WAT FP Equity,1728.03629
DGS US Equity,1694.548
LWCR GR Equity,1731.43967
UIMP GR Equity,1673.38484
APUE US Equity,1749.5446
CMU FP Equity,1821.12457
IWL US Equity,1699.8442
RDVI US Equity,1757.4795
NESG LN Equity,1613.6098
IYG US Equity,1745.0777
NULV US Equity,1672.5864
EXCH NA Equity,1965.267
1474 JP Equity,1742.5265
FUTY US Equity,1660.9732
515330 CH Equity,1684.30199
EEJD LN Equity,1745.9085
EFIV US Equity,1701.2385
XME US Equity,1626.5105
IYJ US Equity,1630.1135
SNPE US Equity,1663.9993
SENSEXIE IN Equity,1670.01464
ACIO US Equity,1702.9377
MVW AU Equity,1678.94761
OIH US Equity,1433.0804
HDEF US Equity,1718.0501
XUFN GR Equity,1758.86197
XSOE US Equity,1688.2849
278530 KS Equity,1639.02335
FLIN US Equity,1716.6497
588050 CH Equity,1654.97363
ACWI FP Equity,1692.21816
EJAP FP Equity,1742.23259
LOCK LN Equity,1759.353
CWI US Equity,1662.5242
REGL US Equity,1605.2767
159629 CH Equity,1631.86327
RPG US Equity,1790.3738
EQL CN Equity,1640.13906
KSMF80 IT Equity,1658.41762
SMLF US Equity,1666.5326
2524 JP Equity,1668.0425
ICHN NA Equity,1708.9098
FXD US Equity,1596.8504
MSRUSA SW Equity,1616.2805
VXC CN Equity,1619.78687
FENY US Equity,1520.0019
LVHI US Equity,1695.1746
FUSA LN Equity,1611.8594
512690 CH Equity,1599.41463
BMOGEAN CN Equity,1585.18736
159928 CH Equity,1583.13157
IAUP LN Equity,1708.5068
RSSL US Equity,1561.540778
PSGF65 IT Equity,1598.6166
HEDJ US Equity,1584.8706
NULG US Equity,1518.3328
BSVO US Equity,1540.1426
USRIH IM Equity,1470.27913
ZQQ CN Equity,1546.0
SPISI SW Equity,1691.3961
CGDG US Equity,1627.843492
IEV US Equity,1577.9602
NSCE CN Equity,1591.13226
URNM US Equity,1473.6634
INFR LN Equity,1529.14752
QLTY US Equity,1592.751322
VEE CN Equity,1563.68236
FLQL US Equity,1552.873
EWRD FP Equity,1516.6986
NVDY US Equity,1510.7347
IPRP LN Equity,1633.01377
AVSC US Equity,1500.8933
SMMCHA SW Equity,1544.15309
VDPX LN Equity,1446.49535
SADU FP Equity,1347.6425
VCE CN Equity,1515.81633
ECN FP Equity,1465.95905
LCEUD FP Equity,1465.95905
ESGE FP Equity,1440.14511
XSD US Equity,1326.1703
XCS6 GR Equity,1557.36604
SPICHA SW Equity,1553.01916
RYLD US Equity,1485.7466
ETFDAX GR Equity,1573.30448
00662 TT Equity,1534.86914
XSMO US Equity,1491.8821
CSINDU SW Equity,1521.2556
IGSU LN Equity,1490.0745
458730 KS Equity,1522.92471
FXL US Equity,1478.1418
EWA US Equity,1454.1626
UBUT GR Equity,1455.68461
SAUM LN Equity,1514.8994
CANCDA SW Equity,1359.06492
RSENSEX IN Equity,1550.49518
PABW FP Equity,1903.24278
BIZD US Equity,1509.0497
VIOV US Equity,1381.6939
159977 CH Equity,1450.66162
SX7PEX GR Equity,1522.67248
ZLU CN Equity,1473.19447
QUS US Equity,1464.7131
IEVL LN Equity,1495.62278
XCHA GR Equity,1477.28452
310970 KS Equity,1432.59177
FCOM US Equity,1526.1116
JREM LN Equity,1468.945
SMMD US Equity,1412.5471
IWDC SW Equity,1428.22567
MPAB NA Equity,1433.59894
WRDCHA SW Equity,1433.36971
ICLN US Equity,1347.3755
AASI FP Equity,1431.54947
PDP US Equity,1401.3671
SITU CN Equity,1357.82388
1597 JP Equity,1436.7442
SRECHA SW Equity,1399.48734
VGG CN Equity,1440.58476
UIMR GR Equity,1446.36287
UET5 GR Equity,1556.06278
BND US Equity,123628.1009
AGG US Equity,121332.9087
BNDX US Equity,63042.0576
TLT US Equity,52236.8316
VCIT US Equity,48672.7234
BIL US Equity,37241.3172
MBB US Equity,36603.373
VCSH US Equity,35563.7941
BSV US Equity,32963.3647
IUSB US Equity,32397.9033
SGOV US Equity,33345.1561
IEF US Equity,32103.0902
VGIT US Equity,30876.9488
GOVT US Equity,29838.4583
LQD US Equity,30520.4708
JPST US Equity,29182.8452
SHY US Equity,23005.786
BIV US Equity,21416.8748
VGSH US Equity,21169.659
IGSB US Equity,21147.0912
IBTU LN Equity,20719.0229
VMBS US Equity,19733.5985
SHV US Equity,19377.6351
USHY US Equity,18534.641
JAAA US Equity,20306.7426
USFR US Equity,17596.0727
FBND US Equity,17515.3385
IEI US Equity,15360.2047
HYG US Equity,14615.3153
PFF US Equity,14670.6472
IEAC LN Equity,14636.64676
IGIB US Equity,14945.9281
VCLT US Equity,13739.8231
EMB US Equity,13936.7442
TIP US Equity,13777.4444
HGAD LN Equity,12078.0908
MINT US Equity,12311.6028
USIG US Equity,12275.0638
VTIP US Equity,12337.3866
SCHP US Equity,11755.0122
SCHO US Equity,11431.5014
STIP US Equity,11055.5577
AGGG LN Equity,10653.11049
SPTL US Equity,10939.2975
IBTS LN Equity,10722.51923
SCHR US Equity,10162.6887
PULS US Equity,9963.0482
VGLT US Equity,9808.8827
BKLN US Equity,10270.0468
SPIB US Equity,9751.3882
00679B TT Equity,9444.44377
SRLN US Equity,9224.9655
SCHZ US Equity,8617.8431
SPSB US Equity,8695.4558
LQDE LN Equity,8457.0141
SPAB US Equity,8202.615
HGVU LN Equity,8252.9188
FLOT US Equity,8381.9861
00937B TT Equity,8097.3169
SCHI US Equity,7839.1042
IBTM LN Equity,7614.114
00687B TT Equity,7698.72186
JNK US Equity,8021.0097
CSBGU7 SW Equity,7718.6441
IHYG LN Equity,7575.38312
BINC US Equity,7658.0302
SPPU GR Equity,7393.34342
SPHY US Equity,7234.3191
IAGG US Equity,7085.8376
TLH US Equity,7157.5446
IEMB LN Equity,6855.3898
SPTI US Equity,7288.256
ECRP FP Equity,6872.44279
ZAG CN Equity,6867.0536
TFLO US Equity,6522.758
SDIG LN Equity,6484.6678
SHYG US Equity,6514.1758
FTSM US Equity,6208.9098
IDTL LN Equity,6370.7055
DFCF US Equity,6110.1054
GBIL US Equity,5773.3328
FPE US Equity,5826.0731
EUNH GR Equity,5853.05264
XBB CN Equity,5820.59011
SPTS US Equity,5791.6925
SPMB US Equity,5699.6136
IUAG LN Equity,5637.0179
EPSTRINC CN Equity,5465.73857
BLV US Equity,5515.124
SUOE LN Equity,5511.18645
IHYU LN Equity,5620.9907
ICSH US Equity,5323.927
BOND US Equity,5225.9392
JCPB US Equity,5512.7136
SJNK US Equity,4952.3438
TBIL US Equity,4814.619
VWOB US Equity,4935.8168
00751B TT Equity,4901.93706
JMBS US Equity,4847.1094
IGLT LN Equity,4672.12075
LMBS US Equity,4732.9614
ITPS LN Equity,4787.27875
00720B TT Equity,4652.77499
VDST LN Equity,4642.6188
SE15 LN Equity,4497.18614
PGX US Equity,4336.7713
FIXD US Equity,4362.7373
VUSB US Equity,4328.4725
